Komoditi,Tanggal, Harga Petani , Harga Pengecer 
Jagung Pipil Kering,4/6/2022," Rp5,100.00 "," Rp5,200.00 "
Jagung Pipil Kering,4/7/2022," Rp5,100.00 "," Rp5,200.00 "
Jagung Pipil Kering,4/8/2022," Rp5,100.00 "," Rp5,200.00 "
Jagung Pipil Kering,4/9/2022,,
Jagung Pipil Kering,4/10/2022,,
Jagung Pipil Kering,4/11/2022," Rp4,900.00 "," Rp5,150.00 "
Jagung Pipil Kering,4/12/2022," Rp4,900.00 "," Rp5,150.00 "
Jagung Pipil Kering,4/13/2022," Rp4,900.00 "," Rp5,150.00 "
Jagung Pipil Kering,4/14/2022," Rp4,900.00 "," Rp5,150.00 "
Jagung Pipil Kering,4/15/2022,,
Jagung Pipil Kering,4/16/2022,,
Jagung Pipil Kering,4/17/2022,,
Jagung Pipil Kering,4/18/2022," Rp4,900.00 "," Rp5,150.00 "
Jagung Pipil Kering,4/19/2022," Rp4,900.00 "," Rp5,150.00 "
Jagung Pipil Kering,4/20/2022," Rp4,900.00 "," Rp5,150.00 "
Jagung Pipil Kering,4/21/2022," Rp4,900.00 "," Rp5,150.00 "
Jagung Pipil Kering,4/22/2022," Rp4,900.00 "," Rp5,150.00 "
Jagung Pipil Kering,4/23/2022,,
Jagung Pipil Kering,4/24/2022,,
Jagung Pipil Kering,4/25/2022," Rp4,800.00 "," Rp5,000.00 "
Jagung Pipil Kering,4/26/2022," Rp4,800.00 "," Rp5,000.00 "
Jagung Pipil Kering,4/27/2022," Rp4,800.00 "," Rp5,000.00 "
Jagung Pipil Kering,4/28/2022," Rp4,800.00 "," Rp5,000.00 "
Jagung Pipil Kering,4/29/2022," Rp4,800.00 "," Rp5,000.00 "
Jagung Pipil Kering,4/30/2022,,
Jagung Pipil Kering,5/1/2022,,
Jagung Pipil Kering,5/2/2022,,
Jagung Pipil Kering,5/3/2022,,
Jagung Pipil Kering,5/4/2022," Rp4,500.00 "," Rp5,000.00 "
Jagung Pipil Kering,5/5/2022," Rp4,500.00 "," Rp5,000.00 "
Jagung Pipil Kering,5/6/2022," Rp4,400.00 "," Rp5,000.00 "
Jagung Pipil Kering,5/7/2022,,
Jagung Pipil Kering,5/8/2022,,
Jagung Pipil Kering,5/9/2022," Rp4,300.00 "," Rp4,500.00 "
Jagung Pipil Kering,5/10/2022," Rp4,200.00 "," Rp4,400.00 "
Jagung Pipil Kering,5/11/2022," Rp4,200.00 "," Rp4,400.00 "
Jagung Pipil Kering,5/12/2022," Rp4,100.00 "," Rp4,200.00 "
Jagung Pipil Kering,5/13/2022," Rp3,850.00 "," Rp4,000.00 "
Jagung Pipil Kering,5/14/2022,,
Jagung Pipil Kering,5/15/2022,,
Jagung Pipil Kering,5/16/2022,,
Jagung Pipil Kering,5/17/2022," Rp3,800.00 "," Rp4,000.00 "
Jagung Pipil Kering,5/18/2022," Rp3,800.00 "," Rp4,000.00 "
Jagung Pipil Kering,5/19/2022," Rp3,800.00 "," Rp4,000.00 "
Jagung Pipil Kering,5/20/2022," Rp3,800.00 "," Rp4,000.00 "
Jagung Pipil Kering,5/21/2022,,
Jagung Pipil Kering,5/22/2022,,
Jagung Pipil Kering,5/23/2022," Rp4,000.00 "," Rp4,250.00 "
Jagung Pipil Kering,5/24/2022," Rp4,000.00 "," Rp4,250.00 "
Jagung Pipil Kering,5/25/2022," Rp4,000.00 "," Rp4,250.00 "
Jagung Pipil Kering,5/26/2022," Rp4,000.00 "," Rp4,250.00 "
Jagung Pipil Kering,5/27/2022," Rp4,000.00 "," Rp4,250.00 "
Jagung Pipil Kering,5/28/2022," Rp4,000.00 "," Rp4,250.00 "
Jagung Pipil Kering,5/29/2022," Rp4,000.00 "," Rp4,250.00 "
Jagung Pipil Kering,5/30/2022," Rp4,000.00 "," Rp4,250.00 "
Jagung Pipil Kering,5/31/2022," Rp4,000.00 "," Rp4,250.00 "
Jagung Pipil Kering,6/1/2022,,
Jagung Pipil Kering,6/2/2022," Rp3,900.00 "," Rp4,250.00 "
Jagung Pipil Kering,6/3/2022," Rp3,900.00 "," Rp4,250.00 "
Jagung Pipil Kering,6/4/2022,,
Jagung Pipil Kering,6/5/2022,,
Jagung Pipil Kering,6/6/2022," Rp3,900.00 "," Rp4,250.00 "
Jagung Pipil Kering,6/7/2022," Rp3,900.00 "," Rp4,250.00 "
Jagung Pipil Kering,6/8/2022," Rp3,900.00 "," Rp4,250.00 "
Jagung Pipil Kering,6/9/2022," Rp3,900.00 "," Rp4,250.00 "
Jagung Pipil Kering,6/10/2022," Rp3,900.00 "," Rp4,250.00 "
Jagung Pipil Kering,6/11/2022,,
Jagung Pipil Kering,6/12/2022,,
Jagung Pipil Kering,6/13/2022," Rp3,900.00 "," Rp4,250.00 "
Jagung Pipil Kering,6/14/2022," Rp3,900.00 "," Rp4,250.00 "
Jagung Pipil Kering,6/15/2022," Rp3,900.00 "," Rp4,250.00 "
Jagung Pipil Kering,6/16/2022," Rp3,900.00 "," Rp4,250.00 "
Jagung Pipil Kering,6/17/2022," Rp3,900.00 "," Rp4,250.00 "
Jagung Pipil Kering,6/18/2022,,
Jagung Pipil Kering,6/19/2022,,
